entity,relation,value,frequency,start_time,end_time
Q63603509,P361,Q117224500,Many-Years,1680-01-01,1778-01-01
Q755163,P17,Q2685298,Many-Years,1947-12-30,1965-08-21
Q5056458,P17,Q131964,Many-Years,1804-08-11,1867-03-30
Q2170359,P2043,103.0,Many-Years,1978-01-01,
Q329569,P39,Q544015,Many-Years,0179-01-01,0183-01-01
Q2975590,P31,Q27676428,Many-Years,2003-10-11,
Q450982,P84,Q91343,Many-Years,1817-01-01,1842-01-01
Q7988779,P127,Q18378979,Many-Years,2014-01-01,2018-06-01
Q55547400,P102,Q1972741,Many-Years,1995-01-01,2017-01-01
Q106631135,P137,Q41,Many-Years,1986-01-01,
Q504348,P1376,Q281005,Many-Years,1684-01-01,1826-01-01
Q34131064,P281,W-8351,Many-Years,1990-09-29,1993-06-30
Q1093233,P17,Q153136,Many-Years,1699-01-26,1804-08-11
Q107528982,P291,Q12892,Many-Years,1946-01-01,1987-01-01
Q188776,P6,Q16025491,Many-Years,1953-02-13,1971-03-18
Q811389,P1037,Q65653082,Many-Years,1985-01-01,2003-01-01
Q125122438,P39,Q17590876,Many-Years,1922-01-01,1926-01-01
Q116428,P39,Q5589724,Many-Years,1851-10-16,1853-10-17
Q34583250,P281,W-8351,Many-Years,1990-09-29,1993-06-30
Q585601,P281,84367,Many-Years,1993-07-01,
Q278686,P17,Q2685298,Many-Years,1947-12-30,1965-08-21
Q113788,P1075,Q99767758,Many-Years,2022-08-19,
Q2988540,P6,Q41543886,Many-Years,2020-07-09,2026-04-23
Q1093228,P17,Q625380,Many-Years,1526-11-11,1570-08-16
Q12109516,P17,Q218,Many-Years,1989-12-22,
Q5118105,P17,Q28513,Many-Years,1867-03-30,1918-11-16
Q7664914,P17,Q153136,Many-Years,1711-04-29,1804-08-11
Q1078321,P17,Q958291,Many-Years,1859-02-05,1881-05-22
Q12131334,P17,Q842794,Many-Years,1965-08-21,1989-12-22
Q12143825,P17,Q842794,Many-Years,1965-08-21,1989-12-22
Q6070729,P137,Q28220389,Many-Years,1924-03-03,1927-05-23
Q12087472,P17,Q203493,Many-Years,1881-05-22,1947-12-30
Q20046152,P102,Q657089,Many-Years,1986-01-01,2000-01-01
Q1029,P35,Q208355,Many-Years,1990-12-01,2005-02-02
Q5355238,P1410,1.0,Many-Years,1859-01-01,1920-01-01
Q5540467,P39,Q41582556,Many-Years,1852-07-07,1857-03-21
Q1562843,P39,Q30277894,Many-Years,1986-01-01,1990-01-01
Q63556,P551,Q801,Many-Years,1949-01-01,1986-01-01
