pid,label,rows,expected,n_groups,n_valid,sec,status,A-Day,A-Few-Days,A-Week,A-Few-Weeks,A-Month,A-Few-Months,A-Year,A-Few-Years,Many-Years
P3014,laws applied,3,3,1,0,1.2,ok,0,0,0,0,0,0,0,0,0
P3271,compulsory education (maximum age),3,3,3,0,1.0,ok,0,0,0,0,0,0,0,0,0
P3712,has goal,3,3,3,0,1.5,ok,0,0,0,0,0,0,0,0,0
P4082,captured with,3,3,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P4140,energy storage capacity,3,3,2,0,1.4,ok,0,0,0,0,0,0,0,0,0
P4622,trophy awarded,3,3,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P4876,number of records,3,3,2,0,1.2,ok,0,0,0,0,0,0,0,0,0
P4968,relevant qualification,3,3,3,0,1.1,ok,0,0,0,0,0,0,0,0,0
P4998,key press,3,3,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P5017,last update,3,3,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P5810,cryptocurrency code,1,1,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P5894,tuition fee,3,3,3,0,1.1,ok,0,0,0,0,0,0,0,0,0
P6587,league system,3,3,3,0,1.0,ok,0,0,0,0,0,0,0,0,0
P6589,endowment,3,3,3,0,1.4,ok,0,0,0,0,0,0,0,0,0
P7086,start grade,3,3,3,0,1.5,ok,0,0,0,0,0,0,0,0,0
P7937,form of creative work,3,3,3,0,6.2,ok,0,0,0,0,0,0,0,0,0
P8031,perpetrator,3,3,3,0,1.4,ok,0,0,0,0,0,0,0,0,0
P8196,voting system,3,3,2,0,1.3,ok,0,0,0,0,0,0,0,0,0
P8345,media franchise,3,3,3,0,3.0,ok,0,0,0,0,0,0,0,0,0
P8498,road number formatter,2,2,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P8687,social media followers,3,3,3,0,7.3,ok,0,0,0,0,0,0,0,0,0
P8733,number of rooms,3,3,2,0,1.3,ok,0,0,0,0,0,0,0,0,0
P9059,subdivision of this unit,3,3,3,0,1.2,ok,0,0,0,0,0,0,0,0,0
P9548,earned run average,3,3,1,0,1.0,ok,0,0,0,0,0,0,0,0,0
P9714,taxon range,3,3,2,0,3.4,ok,0,0,0,0,0,0,0,0,0
P10241,individual of taxon,2,2,2,0,2.1,ok,0,0,0,0,0,0,0,0,0
P10654,rack system,3,3,2,0,1.0,ok,0,0,0,0,0,0,0,0,0
P10714,WikiProject importance scale rating,3,3,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P11197,build system,3,3,3,0,1.1,ok,0,0,0,0,0,0,0,0,0
P11812,afterward owned by,3,3,3,0,1.0,ok,0,0,0,0,0,0,0,0,0
P12651,authorised capital,3,3,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P14834,substance control status,3,3,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P91,sexual orientation,3,3,3,0,2.0,ok,0,0,0,0,0,0,0,0,0
P425,field of this occupation,4,4,2,0,1.8,ok,0,0,0,0,0,0,0,0,0
P474,telephone country code,3,3,3,0,1.1,ok,0,0,0,0,0,0,0,0,0
P736,cover art by,4,4,2,0,1.7,ok,0,0,0,0,0,0,0,0,0
P770,cause of destruction,4,4,4,0,1.4,ok,0,0,0,0,0,0,0,0,0
P967,guest of honor,4,4,4,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1393,proxy,4,4,4,0,1.0,ok,0,0,0,0,0,0,0,0,0
P1595,charge,4,4,4,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1620,plaintiff,4,4,3,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1950,second family name in Spanish name,4,4,3,0,4.9,ok,0,0,0,0,0,0,0,0,0
P2093,author name string,4,4,3,0,10.4,ok,0,0,0,0,0,0,0,0,0
P2234,volume as quantity,4,4,3,0,1.6,ok,0,0,0,0,0,0,0,0,0
P2610,thickness,4,4,3,0,1.8,ok,0,0,0,0,0,0,0,0,0
P2614,World Heritage criteria,4,4,1,0,1.4,ok,0,0,0,0,0,0,0,0,0
P2700,protocol,3,3,3,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2756,EIRIN film rating,4,4,4,0,2.1,ok,0,0,0,0,0,0,0,0,0
P2770,source of income,4,4,4,0,1.2,ok,0,0,0,0,0,0,0,0,0
P2790,net tonnage,4,4,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2851,payment types accepted,4,4,4,0,1.3,ok,0,0,0,0,0,0,0,0,0
P2894,day of week,4,4,3,0,1.4,ok,0,0,0,0,0,0,0,0,0
P3019,railway signalling system,4,4,3,0,1.3,ok,0,0,0,0,0,0,0,0,0
P3680,statement supported by,4,4,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P3985,supports programming language,4,4,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P3989,members have occupation,4,4,3,0,1.6,ok,0,0,0,0,0,0,0,0,0
P3999,date of official closure,0,0,0,0,3.9,ok,0,0,0,0,0,0,0,0,0
P4354,search formatter URL,3,3,3,0,1.4,ok,0,0,0,0,0,0,0,0,0
P4511,vertical depth,4,4,3,0,2.0,ok,0,0,0,0,0,0,0,0,0
P4566,awarded for period,4,4,4,0,1.4,ok,0,0,0,0,0,0,0,0,0
P4647,location of first performance,4,4,4,0,2.1,ok,0,0,0,0,0,0,0,0,0
P5056,patronym or matronym,4,4,4,0,2.4,ok,0,0,0,0,0,0,0,0,0
P5138,season of club or team,4,4,4,0,3.0,ok,0,0,0,0,0,0,0,0,0
P5899,interest rate,4,4,4,0,1.0,ok,0,0,0,0,0,0,0,0,0
P6149,running mate,4,4,4,0,1.1,ok,0,0,0,0,0,0,0,0,0
P6237,real estate developer,4,4,3,0,1.2,ok,0,0,0,0,0,0,0,0,0
P6241,collection creator,4,4,4,0,1.5,ok,0,0,0,0,0,0,0,0,0
P7603,CITES Appendix,4,4,4,0,2.0,ok,0,0,0,0,0,0,0,0,0
P8032,victim(s),4,4,4,0,1.4,ok,0,0,0,0,0,0,0,0,0
P8739,prohibits,4,4,4,0,1.2,ok,0,0,0,0,0,0,0,0,0
P9994,record number,4,4,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P12883,Turkey neighborhood ID,4,4,4,0,1.8,ok,0,0,0,0,0,0,0,0,0
P141,IUCN conservation status,5,5,5,0,5.2,ok,0,0,0,0,0,0,0,0,0
P246,element symbol,5,5,4,0,1.1,ok,0,0,0,0,0,0,0,0,0
P249,ticker symbol,5,5,5,0,1.1,ok,0,0,0,0,0,0,0,0,0
P364,original language of film or TV show,5,5,5,0,7.4,ok,0,0,0,0,0,0,0,0,0
P404,game mode,5,5,3,0,3.4,ok,0,0,0,0,0,0,0,0,0
P730,service retirement,5,5,5,0,2.4,ok,0,0,0,0,0,0,0,0,0
P885,origin of the watercourse,3,3,3,0,2.8,ok,0,0,0,0,0,0,0,0,0
P1677,index case of,5,5,5,0,1.0,ok,0,0,0,0,0,0,0,0,0
P2243,apoapsis,4,4,3,0,2.5,ok,0,0,0,0,0,0,0,0,0
P2442,conversion to standard unit,5,5,3,0,1.2,ok,0,0,0,0,0,0,0,0,0
P2515,costume designer,5,5,1,0,2.3,ok,0,0,0,0,0,0,0,0,0
P2556,bore,5,5,2,0,1.2,ok,0,0,0,0,0,0,0,0,0
P2907,UTC timezone offset,5,5,3,0,1.1,ok,0,0,0,0,0,0,0,0,0
P3158,enclosure,5,5,2,0,1.2,ok,0,0,0,0,0,0,0,0,0
P3679,stock market index,5,5,5,0,1.0,ok,0,0,0,0,0,0,0,0,0
P4135,maximum age,5,5,5,0,1.3,ok,0,0,0,0,0,0,0,0,0
P4444,reward,5,5,5,0,1.0,ok,0,0,0,0,0,0,0,0,0
P4595,post town,5,5,2,0,1.2,ok,0,0,0,0,0,0,0,0,0
P4856,conscription number,4,4,4,0,1.7,ok,0,0,0,0,0,0,0,0,0
P5658,railway traffic side,5,5,5,0,1.1,ok,0,0,0,0,0,0,0,0,0
P6191,language style,5,5,5,0,1.1,ok,0,0,0,0,0,0,0,0,0
P6840,student organization of,5,5,3,0,1.1,ok,0,0,0,0,0,0,0,0,0
P6902,era name,5,5,4,0,1.1,ok,0,0,0,0,0,0,0,0,0
P7782,category for ship name,5,5,4,0,1.9,ok,0,0,0,0,0,0,0,0,0
P9239,affiliated worker organisation,5,5,5,0,1.1,ok,0,0,0,0,0,0,0,0,0
P9302,script style,5,5,3,0,1.1,ok,0,0,0,0,0,0,0,0,0
P14519,body modification(s),5,5,4,0,1.1,ok,0,0,0,0,0,0,0,0,0
P30,continent,6,6,3,0,3.7,ok,0,0,0,0,0,0,0,0,0
P200,inflows,6,6,5,0,2.0,ok,0,0,0,0,0,0,0,0,0
P522,type of orbit,6,6,4,0,1.3,ok,0,0,0,0,0,0,0,0,0
P610,highest point,6,6,5,0,1.8,ok,0,0,0,0,0,0,0,0,0
P655,translator,6,6,3,0,2.3,ok,0,0,0,0,0,0,0,0,0
P1411,nominated for,6,6,5,0,5.6,ok,0,0,0,0,0,0,0,0,0
P1787,art name,5,5,4,0,1.9,ok,0,0,0,0,0,0,0,0,0
P1873,maximum number of players,6,6,6,0,2.9,ok,0,0,0,0,0,0,0,0,0
P2261,beam,6,6,3,0,4.6,ok,0,0,0,0,0,0,0,0,0
P2563,superhuman feature or ability,6,6,2,0,3.1,ok,0,0,0,0,0,0,0,0,0
P3092,film crew member,6,6,2,0,2.1,ok,0,0,0,0,0,0,0,0,0
P3437,carries passengers or cargo,6,6,4,0,1.4,ok,0,0,0,0,0,0,0,0,0
P3893,public domain date,6,6,5,0,1.3,ok,0,0,0,0,0,0,0,0,0
P5071,boiler pressure,6,6,3,0,1.2,ok,0,0,0,0,0,0,0,0,0
P5800,narrative role,6,6,3,0,1.8,ok,0,0,0,0,0,0,0,0,0
P7514,landscape architect,6,6,5,0,1.1,ok,0,0,0,0,0,0,0,0,0
P10568,maintains linking to,6,6,1,0,1.1,ok,0,0,0,0,0,0,0,0,0
P13723,shrine ranking,6,6,4,0,1.4,ok,0,0,0,0,0,0,0,0,0
P301,category's main topic,7,7,6,0,5.8,ok,0,0,0,0,0,0,0,0,0
P376,located on astronomical body,7,7,7,0,1.6,ok,0,0,0,0,0,0,0,0,0
P580,start time,6,6,6,0,8.8,ok,0,0,0,0,0,0,0,0,0
P631,structural engineer,7,7,6,0,1.4,ok,0,0,0,0,0,0,0,0,0
P908,PEGI rating,7,7,6,0,1.7,ok,0,0,0,0,0,0,0,0,0
P1120,number of deaths,7,7,5,0,2.4,ok,0,0,0,0,0,0,0,0,0
P2021,Erdős number,7,7,7,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2522,competition won,7,7,7,0,2.2,ok,0,0,0,0,0,0,0,0,0
P2665,alcohol by volume,7,7,5,0,1.3,ok,0,0,0,0,0,0,0,0,0
P2900,fax number,6,6,6,0,3.3,ok,0,0,0,0,0,0,0,0,0
P3205,patient of,7,7,7,0,1.1,ok,0,0,0,0,0,0,0,0,0
P3373,sibling,7,7,7,0,7.5,ok,0,0,0,0,0,0,0,0,0
P4428,implementation of,7,7,3,0,1.3,ok,0,0,0,0,0,0,0,0,0
P4794,season starts,7,7,5,0,1.6,ok,0,0,0,0,0,0,0,0,0
P5436,number of viewers/listeners,7,7,6,0,4.6,ok,0,0,0,0,0,0,0,0,0
P6153,research site,7,7,4,0,1.2,ok,0,0,0,0,0,0,0,0,0
P6440,maintenance method,7,7,6,0,1.0,ok,0,0,0,0,0,0,0,0,0
P7095,end grade,7,7,6,0,1.3,ok,0,0,0,0,0,0,0,0,0
P8368,number of branches,7,7,7,0,1.3,ok,0,0,0,0,0,0,0,0,0
P10290,hotel rating,7,7,6,0,1.6,ok,0,0,0,0,0,0,0,0,0
P11146,collection items at,7,7,6,0,2.6,ok,0,0,0,0,0,0,0,0,0
P201,outflows,6,6,6,0,2.4,ok,0,0,0,0,0,0,0,0,0
P521,scheduled service destination,8,8,5,0,1.2,ok,0,0,0,0,0,0,0,0,0
P546,docking port,8,8,6,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1145,Lagrangian point,8,8,8,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1932,object named as,8,8,5,0,1.3,ok,0,0,0,0,0,0,0,0,0
P2225,discharge,8,8,5,0,2.0,ok,0,0,0,0,0,0,0,0,0
P2884,mains voltage,7,7,5,0,1.6,ok,0,0,0,0,0,0,0,0,0
P3033,package management system,8,8,5,0,2.4,ok,0,0,0,0,0,0,0,0,0
P3501,Christian liturgical rite,8,8,8,0,6.2,ok,0,0,0,0,0,0,0,0,0
P3938,named by,8,8,4,0,3.5,ok,0,0,0,0,0,0,0,0,0
P4586,type foundry,8,8,6,0,2.2,ok,0,0,0,0,0,0,0,0,0
P7297,cumulative elevation gain,2,2,1,0,2.4,ok,0,0,0,0,0,0,0,0,0
P8546,recording location,8,8,7,0,2.6,ok,0,0,0,0,0,0,0,0,0
P8852,facial hair,7,7,6,0,2.2,ok,0,0,0,0,0,0,0,0,0
P9549,official podcast,8,8,7,0,2.7,ok,0,0,0,0,0,0,0,0,0
P9793,setlist,8,8,4,0,2.1,ok,0,0,0,0,0,0,0,0,0
P10367,number of lanes,8,8,3,0,1.6,ok,0,0,0,0,0,0,0,0,0
P61,discoverer or inventor,9,9,8,0,5.0,ok,0,0,0,0,0,0,0,0,0
P1193,prevalence,9,9,9,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1557,manifestation of,9,9,3,0,1.1,ok,0,0,0,0,0,0,0,0,0
P2635,number of parts of this work,9,9,5,0,6.1,ok,0,0,0,0,0,0,0,0,0
P2739,typeface/font used,9,9,7,0,1.2,ok,0,0,0,0,0,0,0,0,0
P2852,emergency phone number,9,9,5,0,1.2,ok,0,0,0,0,0,0,0,0,0
P2913,date depicted,9,9,9,0,1.2,ok,0,0,0,0,0,0,0,0,0
P2925,domain of saint or deity,9,9,6,0,1.5,ok,0,0,0,0,0,0,0,0,0
P3618,base salary,9,9,7,0,1.2,ok,0,0,0,0,0,0,0,0,0
P4290,official app,7,7,6,0,1.3,ok,0,0,0,0,0,0,0,0,0
P4844,research intervention,9,9,1,0,1.6,ok,0,0,0,0,0,0,0,0,0
P7045,chassis,9,9,2,0,1.1,ok,0,0,0,0,0,0,0,0,0
P8058,symbol of,9,9,8,0,1.1,ok,0,0,0,0,0,0,0,0,0
P8571,external auditor,9,9,6,0,1.1,ok,0,0,0,0,0,0,0,0,0
P9234,supplement to,9,9,8,0,1.2,ok,0,0,0,0,0,0,0,0,0
P412,voice type,10,10,9,0,3.8,ok,0,0,0,0,0,0,0,0,0
P500,exclave of,8,8,5,0,1.2,ok,0,0,0,0,0,0,0,0,0
P916,GSRR rating,4,4,3,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1072,readable file format,10,10,7,0,2.0,ok,0,0,0,0,0,0,0,0,0
P1264,valid in period,10,10,9,0,1.6,ok,0,0,0,0,0,0,0,0,0
P1299,depicted by,10,10,10,0,4.8,ok,0,0,0,0,0,0,0,0,0
P2547,perimeter,10,10,1,0,1.8,ok,0,0,0,0,0,0,0,0,0
P3602,candidacy in election,9,9,8,0,4.9,ok,0,0,0,0,0,0,0,0,0
P4519,payload mass,10,10,7,0,1.3,ok,0,0,0,0,0,0,0,0,0
P4614,drainage basin,10,10,6,0,5.1,ok,0,0,0,0,0,0,0,0,0
P5023,activity policy in this place,10,10,10,0,1.2,ok,0,0,0,0,0,0,0,0,0
P5630,prisoner count,10,10,6,0,1.1,ok,0,0,0,0,0,0,0,0,0
P10067,train melody,10,10,9,0,1.1,ok,0,0,0,0,0,0,0,0,0
P25,mother,11,11,11,0,7.0,ok,0,0,0,0,0,0,0,0,0
P172,ethnic group,11,11,8,0,5.6,ok,0,0,0,0,0,0,0,0,0
P348,software version identifier,11,11,9,0,8.1,ok,0,0,0,0,0,0,0,0,0
P393,edition number,11,11,4,0,5.7,ok,0,0,0,0,0,0,0,0,0
P834,train depot,11,11,8,0,1.2,ok,0,0,0,0,0,0,0,0,0
P1462,standards body,11,11,9,0,1.4,ok,0,0,0,0,0,0,0,0,0
P2360,intended public,11,11,5,0,2.7,ok,0,0,0,0,0,0,0,0,0
P2674,next crossing downstream,11,11,9,0,1.6,ok,0,0,0,0,0,0,0,0,0
P2848,Wi-Fi access,11,11,11,0,1.8,ok,0,0,0,0,0,0,0,0,0
P6856,average speed,11,11,7,0,1.1,ok,0,0,0,0,0,0,0,0,0
P8005,research subject recruitment status,11,11,9,0,1.1,ok,0,0,0,0,0,0,0,0,0
P10254,associated cadastral district,11,11,8,0,3.2,ok,0,0,0,0,0,0,0,0,0
P10888,contains the statistical territorial entity,11,11,7,0,1.4,ok,0,0,0,0,0,0,0,0,0
P78,top-level Internet domain,12,12,9,0,1.2,ok,0,0,0,0,0,0,0,0,0
P729,service entry,12,12,12,0,4.1,ok,0,0,0,0,0,0,0,0,0
P1104,number of pages,14,12,6,0,11.6,ok,0,0,0,0,0,0,0,0,0
P1290,godparent,12,12,9,0,1.3,ok,0,0,0,0,0,0,0,0,0
P1622,driving side,12,12,12,0,1.3,ok,0,0,0,0,0,0,0,0,0
P2130,capital cost,12,12,9,0,2.2,ok,0,0,0,0,0,0,0,0,0
P2673,next crossing upstream,12,12,11,0,1.4,ok,0,0,0,0,0,0,0,0,0
P4967,prerequisite,12,12,7,0,1.2,ok,0,0,0,0,0,0,0,0,0
P6540,multi-channel network,12,12,12,0,1.0,ok,0,0,0,0,0,0,0,0,0
P7573,IFCO rating,12,12,12,0,1.5,ok,0,0,0,0,0,0,0,0,0
P14272,CLCR language code,12,12,12,0,1.1,ok,0,0,0,0,0,0,0,0,0
P344,director of photography,13,13,6,0,6.2,ok,0,0,0,0,0,0,0,0,0
P398,child astronomical body,13,13,2,0,2.4,ok,0,0,0,0,0,0,0,0,0
P487,Unicode character,13,13,13,0,1.9,ok,0,0,0,0,0,0,0,0,0
P529,runway,13,13,7,0,2.1,ok,0,0,0,0,0,0,0,0,0
P541,office contested,13,13,9,0,2.5,ok,0,0,0,0,0,0,0,0,0
P674,characters,13,13,5,0,3.6,ok,0,0,0,0,0,0,0,0,0
P1639,pendant of,13,13,13,0,1.9,ok,0,0,0,0,0,0,0,0,0
P2044,elevation above sea level,13,13,10,0,9.5,ok,0,0,0,0,0,0,0,0,0
P3793,IPv6 routing prefix,13,13,13,0,2.0,ok,0,0,0,0,0,0,0,0,0
P230,ICAO airline designator,14,14,14,0,2.8,ok,0,0,0,0,0,0,0,0,0
P562,central bank/issuer,14,14,10,0,2.4,ok,0,0,0,0,0,0,0,0,0
P1202,carries scientific instrument,14,14,2,0,2.8,ok,0,0,0,0,0,0,0,0,0
P1429,has pet,14,14,11,0,1.4,ok,0,0,0,0,0,0,0,0,0
P5202,adapted by,11,11,4,0,1.7,ok,0,0,0,0,0,0,0,0,0
P5897,account charge / subscription fee,14,14,4,0,1.8,ok,0,0,0,0,0,0,0,0,0
P10624,official observer status in organization,14,14,13,0,1.9,ok,0,0,0,0,0,0,0,0,0
P13574,most populous urban area,14,14,14,0,2.1,ok,0,0,0,0,0,0,0,0,0
P740,location of formation,15,15,12,0,8.7,ok,0,0,0,0,0,0,0,0,0
P828,has cause,14,14,12,0,3.3,ok,0,0,0,0,0,0,0,0,0
P2137,total equity,15,15,14,0,2.0,ok,0,0,0,0,0,0,0,0,0
P2197,production rate,15,15,12,0,1.1,ok,0,0,0,0,0,0,0,0,0
P3994,racon signal,14,14,14,0,1.2,ok,0,0,0,0,0,0,0,0,0
P6195,funding scheme,14,14,12,0,2.4,ok,0,0,0,0,0,0,0,0,0
P6758,supported sports team,15,15,5,0,1.5,ok,0,0,0,0,0,0,0,0,0
P9086,BAMID film rating,15,15,13,0,1.3,ok,0,0,0,0,0,0,0,0,0
P768,electoral district,16,16,15,0,1.4,ok,0,0,0,0,0,0,0,0,0
P1399,convicted of,16,16,16,0,3.0,ok,0,0,0,0,0,0,0,0,0
P2262,draft,16,16,9,0,2.2,ok,0,0,0,0,0,0,0,0,0
P3000,marriageable age,16,16,4,0,1.2,ok,0,0,0,0,0,0,0,0,0
P6291,advertises,16,16,13,0,1.5,ok,0,0,0,0,0,0,0,0,0
P209,highest judicial authority,17,17,12,0,1.4,ok,0,0,0,0,0,0,0,0,0
P613,OS grid reference,17,17,14,0,4.4,ok,0,0,0,0,0,0,0,0,0
P1314,number of spans,17,17,12,0,1.6,ok,0,0,0,0,0,0,0,0,0
P1593,legal counsel,14,14,7,0,1.3,ok,0,0,0,0,0,0,0,0,0
P1876,vessel,17,17,10,0,2.0,ok,0,0,0,0,0,0,0,0,0
P3075,official religion,14,14,12,0,1.6,ok,0,0,0,0,0,0,0,0,0
P3179,territory overlaps,17,17,11,0,2.1,ok,0,0,0,0,0,0,0,0,0
P5012,special rank or class rate,17,17,17,0,1.3,ok,0,0,0,0,0,0,0,0,0
P114,airline alliance,17,17,13,0,1.3,ok,0,0,0,0,0,0,0,0,0
P229,IATA airline designator,18,18,17,0,1.8,ok,0,0,0,0,0,0,0,0,0
P676,lyricist,18,18,15,0,3.8,ok,0,0,0,0,0,0,0,0,0
P1340,eye color,17,17,11,0,3.5,ok,0,0,0,0,0,0,0,0,0
P1419,shape,18,18,12,0,1.7,ok,0,0,0,0,0,0,0,0,0
P1546,motto,18,18,13,0,1.3,ok,0,0,0,0,0,0,0,0,0
P1889,different from,18,18,18,0,13.9,ok,0,0,0,0,0,0,0,0,0
P2098,substitute/deputy/replacement of office/officeholder,18,18,15,0,1.2,ok,0,0,0,0,0,0,0,0,0
P2937,legislative term,18,18,17,0,1.6,ok,0,0,0,0,0,0,0,0,0
P3113,does not have part,5,5,5,0,1.4,ok,0,0,0,0,0,0,0,0,0
P8045,organized response related to outbreak,18,18,6,0,1.1,ok,0,0,0,0,0,0,0,0,0
P807,separated from,19,19,19,0,2.0,ok,0,0,0,0,0,0,0,0,0
P2922,month of the year,18,18,15,0,1.8,ok,0,0,0,0,0,0,0,0,0
P5389,permanent resident of,19,19,19,0,1.5,ok,0,0,0,0,0,0,0,0,0
P6978,Scandinavian middle family name,19,19,19,0,1.7,ok,0,0,0,0,0,0,0,0,0
P1398,structure replaces,20,20,17,0,1.7,ok,0,0,0,0,0,0,0,0,0
P1414,GUI toolkit or framework,14,14,11,0,1.5,ok,0,0,0,0,0,0,0,0,0
P9493,artist files at,40,20,13,0,4.6,ok,0,0,0,0,0,0,0,0,0
P1547,depends on software,20,20,14,0,1.6,ok,0,0,0,0,0,0,0,0,0
P1885,cathedral,21,21,18,0,1.6,ok,0,0,0,0,0,0,0,0,0
P1951,investor,21,21,13,0,1.3,ok,0,0,0,0,0,0,0,0,0
P3610,fare zone,21,21,12,0,1.8,ok,0,0,0,0,0,0,0,0,0
P5009,complies with,20,20,15,0,1.3,ok,0,0,0,0,0,0,0,0,0
P397,parent astronomical body,22,22,22,0,3.9,ok,0,0,0,0,0,0,0,0,0
P550,chivalric order,22,22,20,0,1.1,ok,0,0,0,0,0,0,0,0,0
P1098,"number of speakers, writers, or signers",22,22,18,0,1.5,ok,0,0,0,0,0,0,0,0,0
P1785,temple name,22,22,15,0,1.2,ok,0,0,0,0,0,0,0,0,0
P8329,principal investigator,20,20,14,0,1.2,ok,0,0,0,0,0,0,0,0,0
P13047,leased to,22,22,19,0,1.1,ok,0,0,0,0,0,0,0,0,0
P193,main building contractor,23,23,22,0,1.7,ok,0,0,0,0,0,0,0,0,0
P814,IUCN protected areas category,23,23,22,0,3.2,ok,0,0,0,0,0,0,0,0,0
P833,interchange station,23,23,22,0,1.8,ok,0,0,0,0,0,0,0,0,0
P1302,primary destinations,23,23,14,0,1.3,ok,0,0,0,0,0,0,0,0,0
P2436,voltage,23,23,17,0,1.2,ok,0,0,0,0,0,0,0,0,0
P3032,adjacent structure or building,23,23,20,0,2.1,ok,0,0,0,0,0,0,0,0,0
P13939,Commonwealth Sport country code,23,23,15,0,1.1,ok,0,0,0,0,0,0,0,0,0
P942,theme music,24,24,9,0,1.4,ok,0,0,0,0,0,0,0,0,0
P2855,VAT rate,24,24,9,0,1.2,ok,0,0,0,0,0,0,0,0,0
P3828,wears,22,22,14,0,1.4,ok,0,0,0,0,0,0,0,0,0
P8839,hair style / hair length,20,20,12,0,1.2,ok,0,0,0,0,0,0,0,0,0
P852,ESRB rating,21,21,13,0,2.2,ok,0,0,0,0,0,0,0,0,0
P3039,wheelbase,25,25,12,0,1.9,ok,0,0,0,0,0,0,0,0,0
P1879,income classification (Philippines),26,26,26,0,1.5,ok,0,0,0,0,0,0,0,0,0
P1891,signatory,26,26,5,0,1.8,ok,0,0,0,0,0,0,0,0,0
P4969,derivative work,26,26,15,0,5.9,ok,0,0,0,0,0,0,0,0,0
P9759,bridge number,24,24,23,0,1.7,ok,0,0,0,0,0,0,0,0,0
P575,time of discovery or invention,27,27,27,0,8.9,ok,0,0,0,0,0,0,0,0,0
P4446,reward program,27,27,19,0,1.7,ok,0,0,0,0,0,0,0,0,0
P411,canonization status,28,28,24,0,5.8,ok,0,0,0,0,0,0,0,0,0
P2142,box office,28,28,15,0,5.3,ok,0,0,0,0,0,0,0,0,0
P2377,MediaWiki hooks used,28,28,9,0,2.5,ok,0,0,0,0,0,0,0,0,0
P1100,number of cylinders,29,29,15,0,4.9,ok,0,0,0,0,0,0,0,0,0
P167,structure replaced by,31,31,26,0,4.3,ok,0,0,0,0,0,0,0,0,0
P1329,phone number,28,28,25,0,19.9,ok,0,0,0,0,0,0,0,0,0
P206,located in or next to body of water,30,30,27,0,10.0,ok,0,0,0,0,0,0,0,0,0
P747,"has version, edition or translation",28,28,25,0,10.5,ok,0,0,0,0,0,0,0,0,0
P403,mouth of the watercourse,27,27,25,0,12.3,ok,0,0,0,0,0,0,0,0,0
P1884,hair color,29,29,19,0,4.0,ok,0,0,0,0,0,0,0,0,0
P1336,territory claimed by,34,34,21,0,1.6,ok,0,0,0,0,0,0,0,0,0
P3719,regulated by,33,33,29,0,1.4,ok,0,0,0,0,0,0,0,0,0
P5832,political coalition,34,34,24,0,1.1,ok,0,0,0,0,0,0,0,0,0
P790,approved by,35,35,16,0,1.4,ok,0,0,0,0,0,0,0,0,0
P2402,total expenditure,35,35,32,0,1.7,ok,0,0,0,0,0,0,0,0,0
P3424,Polish cultural heritage register number,35,35,31,0,1.5,ok,0,0,0,0,0,0,0,0,0
P467,legislated by,36,36,3,0,2.3,ok,0,0,0,0,0,0,0,0,0
P1840,investigated by,36,36,32,0,1.2,ok,0,0,0,0,0,0,0,0,0
P88,commissioned by,38,38,33,0,2.7,ok,0,0,0,0,0,0,0,0,0
P6379,has works in the collection,38,38,31,0,5.9,ok,0,0,0,0,0,0,0,0,0
P2650,interested in,41,41,29,0,2.8,ok,0,0,0,0,0,0,0,0,0
P4379,youth wing,42,42,25,0,1.2,ok,0,0,0,0,0,0,0,0,0
P972,catalog,40,40,40,0,1.9,ok,0,0,0,0,0,0,0,0,0
P3216,ClassInd rating,18,18,18,0,1.9,ok,0,0,0,0,0,0,0,0,0
P239,ICAO airport code,45,45,45,0,1.9,ok,0,0,0,0,0,0,0,0,0
P737,influenced by,46,46,19,0,2.6,ok,0,0,0,0,0,0,0,0,0
P2899,minimum age,38,38,21,0,1.4,ok,0,0,0,0,0,0,0,0,0
P2992,software quality assurance,46,46,40,0,1.3,ok,0,0,0,0,0,0,0,0,0
P576,"dissolved, abolished or demolished",46,46,46,0,7.5,ok,0,0,0,0,0,0,0,0,0
P1269,facet of,49,49,41,0,5.3,ok,0,0,0,0,0,0,0,0,0
P991,successful candidate,48,48,41,0,1.8,ok,0,0,0,0,0,0,0,0,0
P1035,honorific suffix,49,49,48,0,1.4,ok,0,0,0,0,0,0,0,0,0
